OBJECTID,ACCIDENTNUM,ACCIDENTDATE,ACCIDENT_YEAR,ACCIDENT_MONTH,ACCIDENT_DAY,ACCIDENT_HOUR,ACCIDENT_MINUTE,ACCIDENT_SECOND,ACCIDENT_WEEKDAY,XCOORD,YCOORD,LONGITUDE,LATITUDE,ACCIDENTLOCATION,COLLISIONTYPE,CLASSIFICATIONOFACCIDENT,IMPACTLOCATION,INITIALDIRECTIONOFTRAVELONE,INITIALDIRECTIONOFTRAVELTWO,INITIALIMPACTTYPE,INTTRAFFICCONTROL,LIGHT,LIGHTFORREPORT,ROADJURISDICTION,TRAFFICCONTROL,TRAFFICCONTROLCONDITION,THRULANENO,NORTHBOUNDDISOBEYCOUNT,SOUTHBOUNDDISOBEYCOUNT,PEDESTRIANINVOLVED,CYCLISTINVOLVED,MOTORCYCLISTINVOLVED,ENVIRONMENTCONDITION1,ENVIRONMENTCONDITION2,SELFREPORTED,XMLIMPORTNOTES,LASTEDITEDDATE,CREATE_BY,CREATE_DATE
45478,16-173815,1470814500000,2016,8,10,7,35,0,Wednesday,543542.03997,4805002.85872,-80.462329,43.396648,At/near private drive,1,Non-fatal injury,Thru lane,unknown,unknown,Rear end,Unknown,Daylight,01 - Daylight,Municipal (excl. Twp. Rd.),No control,unknown,0,0,0,False,False,False,Clear,,False,BATTLER RD; BATTLER RD ; 15 M,3/4/2020 10:08:59 AM,,
45479,16-174077,1470817200000,2016,8,10,8,20,0,Wednesday,543751.24836,4805553.38796,-80.459702,43.401593,Intersection related,2,P.D. only,Thru lane,unknown,unknown,Rear end,Unknown,Daylight,01 - Daylight,Municipal (excl. Twp. Rd.),Stop sign,Functioning,0,0,0,False,False,False,Clear,,False,BEASLEY DR; TRILLIUM DR,3/4/2020 10:08:58 AM,,
45481,16-175124,1470936660000,2016,8,11,17,31,0,Thursday,540749.18825,4809246.06406,-80.496499,43.435010999999996,Non intersection,2,P.D. only,Thru lane,unknown,unknown,SMV unattended vehicle,Unknown,Daylight,01 - Daylight,Regional municipality,No control,unknown,0,0,0,False,False,False,Clear,,False,PLEASANT AVE; PLEASANT AVE ; At; 4 M,3/4/2020 10:08:57 AM,,
45482,16-175530,1470982500000,2016,8,12,6,15,0,Friday,540889.02271,4811282.50164,-80.494618,43.45334,Non intersection,2,P.D. only,Not on roadway - right side,unknown,unknown,SMV other,Unknown,Dark,07 - Dark,Municipal (excl. Twp. Rd.),No control,unknown,0,0,0,False,False,False,Clear,,False,FRANCIS ST N; WATER ST N; 110 M,3/4/2020 10:08:56 AM,,
45483,16-175819,1471011480000,2016,8,12,14,18,0,Friday,547773.38412,4810987.43553,-80.40955799999999,43.450275,At intersection,2,P.D. only,Within intersection,unknown,unknown,Angle,Unknown,Daylight,01 - Daylight,Municipal (excl. Twp. Rd.),Stop sign,Functioning,0,0,0,False,False,False,Clear,,False,ZELLER DR; PEBBLECREEK DR,3/4/2020 10:08:55 AM,,
45484,16-175988,1471006800000,2016,8,12,13,0,0,Friday,544958.96271,4808204.58666,-80.44457,43.425393,Non intersection,2,P.D. only,Right shoulder,unknown,unknown,SMV unattended vehicle,Unknown,Daylight,01 - Daylight,Municipal (excl. Twp. Rd.),No control,unknown,0,0,0,False,False,False,Clear,,False,GREENFIELD AVE; 565 GREENFIELD AVE,3/4/2020 10:08:55 AM,,
45485,16-176120,1471034640000,2016,8,12,20,44,0,Friday,544282.85673,4808356.28828,-80.45291,43.426798999999995,Intersection related,1,Non-fatal injury,Not on roadway - right side,unknown,unknown,SMV other,Unknown,Dark,07 - Dark,Regional municipality,Stop sign,Functioning,0,0,0,False,False,False,Clear,,False,FRANKLIN ST S; WILSON AVE,3/4/2020 10:08:54 AM,,
45486,16-177297,1471033800000,2016,8,12,20,30,0,Friday,538667.78663,4809218.89382,-80.522218,43.434877,At/near private drive,2,unknown,Thru lane,unknown,unknown,SMV unattended vehicle,Unknown,Daylight,01 - Daylight,Municipal (excl. Twp. Rd.),No control,unknown,0,0,0,False,False,False,Clear,,False,WYCLIFFE PL; WYCLIFFE PL; At; 1 M,3/4/2020 10:08:53 AM,,
45487,16-177342,1471174860000,2016,8,14,11,41,0,Sunday,541076.92672,4809550.83195,-80.492426,43.437737999999996,Non intersection,2,P.D. only,Thru lane,unknown,unknown,SMV unattended vehicle,Unknown,Daylight,01 - Daylight,Regional municipality,No control,unknown,0,0,0,False,False,False,Clear,,False,HIGHLAND RD E; DELAWARE AVE ; Near; 20 M,3/4/2020 10:08:53 AM,,
45488,16-177572,1471194000000,2016,8,14,17,0,0,Sunday,544970.57445,4811010.0,-80.444195,43.450652,At/near private drive,1,Non-fatal injury,Thru lane,unknown,unknown,Turning movement,Unknown,Daylight,01 - Daylight,Regional municipality,No control,unknown,0,0,0,False,False,False,Clear,,False,RIVER RD E; OTTAWA ST N; At,3/4/2020 10:08:52 AM,,
