OBJECTID,IntersectionName,InstallDate,DetectionMethod,OwnedBy,MaintainedBy,LifeStatus,RetiredDate,RetiredReason,Settlement,Municipality,RMWID,ContractNumber,SHAPESTArea,SHAPESTLength
1,Victoria St S @ Westforest Trail/Eastforest Trail,,Loops,Region of Waterloo,Region of Waterloo,In Service,,,Kitchener,Kitchener,DET1161,,22.492588945,24.3779459672726
2,Franklin Blvd @ Elgin St N/Saginaw Pky,,Loops,Region of Waterloo,Region of Waterloo,In Service,,,Cambridge,Cambridge,DET437,,18.93667455,23.5114757174162
3,Water St S @ Ainslie St S,,Loops,Region of Waterloo,Region of Waterloo,In Service,,,Cambridge,Cambridge,DET1196,,15.662899415,19.634032077055
4,Bridge St W @ Bridle Trail,,Loops,Region of Waterloo,Region of Waterloo,In Service,,,Waterloo,Waterloo,DET1602,,15.74805909,21.1981734513427
5,Fountain St N @ Maple Grove Rd,,Loops,Region of Waterloo,Region of Waterloo,In Service,,,Cambridge,Cambridge,DET2447,,4.47588373,8.45512193988251
6,Ainslie St N @ Simcoe St,,Loops,Region of Waterloo,Region of Waterloo,In Service,,,Cambridge,Cambridge,DET3,,15.11392825,19.6933476112911
8,Weber St N @ Benjamin Rd,,Loops,Region of Waterloo,Region of Waterloo,In Service,,,Waterloo,Waterloo,DET1265,,23.498296595,24.9620621294679
9,Victoria St S @ Park St,,Loops,Region of Waterloo,Region of Waterloo,In Service,,,Kitchener,Kitchener,DET7248,,11.93927883,16.1901184321684
11,Franklin Blvd @ Winston Blvd,,Loops,Region of Waterloo,Region of Waterloo,In Service,,,Cambridge,Cambridge,DET425,,17.03597579,18.7373143397854
12,Maple Grove Rd @ Cherry Blossom Rd,,Loops,Region of Waterloo,Region of Waterloo,In Service,,,Cambridge,Cambridge,DET812,,21.320652845,25.1030167351314
13,Northfield Dr E @ Line 86,,Loops,Region of Waterloo,Region of Waterloo,In Service,,,Woolwich,Woolwich,DET3650,,2.94732776,6.893800599864
14,King St N @ Conestogo Rd W/Conestogo Rd E,,Loops,Region of Waterloo,Region of Waterloo,In Service,,,Waterloo,Waterloo,DET721,,29.19942329,25.9399394989112
15,Townline Rd @ Hwy 401E Off Ramp,,Loops,Region of Waterloo,Region of Waterloo,In Service,,,Cambridge,Cambridge,DET1632,,43.63621223,35.2617339006154
16,Weber St N @ Lincoln Rd,,Loops,Region of Waterloo,Region of Waterloo,In Service,,,Waterloo,Waterloo,DET1231,,18.97611743,21.0799911021029
18,Maple Grove Rd @ Vondrau Dr,,Loops,Region of Waterloo,Region of Waterloo,In Service,,,Cambridge,Cambridge,DET830,,1.455390235,4.86652670850075
19,Ainslie St N @ Dickson St,,Loops,Region of Waterloo,Region of Waterloo,In Service,,,Cambridge,Cambridge,DET7,,34.320013805,30.4969630911679
20,Bearinger Rd @ Parkside Dr @ Wes Graham Way,,Loops,Region of Waterloo,Region of Waterloo,In Service,,,Waterloo,Waterloo,DET42,,21.852365085,25.0088798193133
21,Franklin Blvd @ Holiday Inn Dr @ Jamieson Pky,,Loops,Region of Waterloo,Region of Waterloo,In Service,,,Cambridge,Cambridge,DET434,,22.43408629,21.6421166601493
22,Victoria St S @ Lawrence Ave,,Loops,Region of Waterloo,Region of Waterloo,In Service,,,Kitchener,Kitchener,DET1151,,23.582163945,25.7018324911685
23,Lancaster St W @ Victoria St N,,Loops,Region of Waterloo,Region of Waterloo,In Service,,,Kitchener,Kitchener,DET779,,17.39096509,19.5818106217409
24,Guelph Ave @ Scott Rd/Baldwin Dr,,Loops,Region of Waterloo,Region of Waterloo,In Service,,,Cambridge,Cambridge,DET480,,22.56312675,25.6773040329745
25,Victoria St S @ Strange St/West Ave,,Loops,Region of Waterloo,Region of Waterloo,In Service,,,Kitchener,Kitchener,DET1145,,32.32606318,34.6962229995804
26,Courtland Ave E/Fairway Rd S @Manitou Dr,,Loops,Region of Waterloo,Region of Waterloo,In Service,,,Kitchener,Kitchener,DET205,,11.39727567,15.5852860724715
27,Highland Rd W @ Highland Cres,,Loops,Region of Waterloo,Region of Waterloo,In Service,,,Kitchener,Kitchener,DET557,,14.547552665,18.900099492354
29,Weber St N @ Northfield Dr W,,Loops,Region of Waterloo,Region of Waterloo,In Service,,,Waterloo,Waterloo,DET1247,,16.104987575,19.7675217142168
31,Hespeler Rd @ 480 Hespeler Rd,,Loops,Region of Waterloo,Region of Waterloo,In Service,,,Cambridge,Cambridge,DET522,,16.8094025,21.3070192071321
32,Hespeler Rd @ Can-Amera Pky,,Loops,Region of Waterloo,Region of Waterloo,In Service,,,Cambridge,Cambridge,DET1392,,2.61553766,8.3394564815863
33,Victoria St N @ Duke St W,,Loops,Region of Waterloo,Region of Waterloo,In Service,,,Kitchener,Kitchener,DET1171,,26.01164957,24.662667976322
34,Fairway Rd S @ Fairview Park Mall Entrance,,Loops,Region of Waterloo,Region of Waterloo,In Service,,,Kitchener,Kitchener,DET312,,22.004445525,19.2048319820932
35,Caroline St N/Bridgeport Rd W @ Albert St,,Loops,Region of Waterloo,Region of Waterloo,In Service,,,Waterloo,Waterloo,DET1573,,4.792672565,9.48331122090318
36,University Ave E @ Dale Cres/Lincoln Rd,,Loops,Region of Waterloo,Region of Waterloo,In Service,,,Waterloo,Waterloo,DET1588,,20.69352759,23.1604789182972
37,Hespeler Rd @ Bishop St N,,Loops,Region of Waterloo,Region of Waterloo,In Service,,,Cambridge,Cambridge,DET487,,28.28389288,28.4798234047195
40,Arthur St S @ Whippoorwill Dr/South Field Dr,,Loops,Region of Waterloo,Region of Waterloo,In Service,,,Elmira,Woolwich,DET22,,19.29889445,23.8291821774423
41,Frederick St @ Edna St,,Loops,Region of Waterloo,Region of Waterloo,In Service,,,Kitchener,Kitchener,DET456,,11.41435716,16.094285311603
42,Maple Grove Rd @ Vondrau Dr,,Loops,Region of Waterloo,Region of Waterloo,In Service,,,Cambridge,Cambridge,DET823,,16.24887808,21.0411837268021
43,Fischer-Hallman Rd @ Ottawa St S,,Loops,Region of Waterloo,Region of Waterloo,In Service,,,Kitchener,Kitchener,DET964,,8.15848187,11.8897511458124
44,Victoria St N @ Ebycrest Rd/Woolwich St S,,Loops,Region of Waterloo,Region of Waterloo,In Service,,,Breslau,Woolwich,DET249,,23.757484855,29.1123728580821
45,Strasburg Rd @ 700 Strasburg Rd @ 695 Strasburg Rd,,Loops,Region of Waterloo,Region of Waterloo,In Service,,,Kitchener,Kitchener,DET1464,,15.451533685,20.1419036120161
46,Victoria St S @ Hazelglen Dr,,Puck,Region of Waterloo,Region of Waterloo,In Service,,,Kitchener,Kitchener,DET1152,,15.300071715,19.4910407627291
47,Weber St N @ Northfield Dr W,,Loops,Region of Waterloo,Region of Waterloo,In Service,,,Waterloo,Waterloo,DET1249,,1.243507355,4.51139255750425
48,Frederick St @ Otto St,,Loops,Region of Waterloo,Region of Waterloo,In Service,,,Kitchener,Kitchener,DET460,,14.54842374,18.7191596675316
49,University Ave W @ Ring Rd/Seagram Dr,,Loops,Region of Waterloo,Region of Waterloo,In Service,,,Waterloo,Waterloo,DET1076,,17.73881529,20.0236033564452
52,Block Line Rd @ Kingswood Dr,,Loops,Region of Waterloo,Region of Waterloo,In Service,,,Kitchener,Kitchener,DET99,,12.929053925,16.5631692370442
53,Eagle St N @ Industrial Rd,,Loops,Region of Waterloo,Region of Waterloo,In Service,,,Cambridge,Cambridge,DET239,,29.101829735,27.8270123041859
54,University Ave W @ Erb St W,,Loops,Region of Waterloo,Region of Waterloo,In Service,,,Waterloo,Waterloo,DET269,,19.43629255,23.6657706128059
55,Hespeler Rd @ Can-Amera Pky,,Loops,Region of Waterloo,Region of Waterloo,In Service,,,Cambridge,Cambridge,DET1379,,18.657608455,23.4377745525035
57,Hespeler Rd @ Jaffray St/Avenue Rd,,Loops,Region of Waterloo,Region of Waterloo,In Service,,,Cambridge,Cambridge,DET539,,24.19047879,25.8218753292198
