OBJECTID,TRAFFICCLOSURESID,CLOSURE_TYPE,STREET_NAME,STREET_FROM,STREET_TO,DATE_FROM,DATE_TO,REASON,STATUS,CLOSURE_SCHEDULED,DETAILS,DETOUR,ORGANIZATION,CONTACT,WATER,TIME,INSTRUCTIONS,INSTRUCTION_TEXT,UPDATES,CREATE_DATE,CREATE_BY,UPDATE_DATE,UPDATE_BY,STATUS_DATE,ALTERNATE_CONTACT,DOWNTOWN,MAP_CLASS,Shape__Length
1,52569,Road,AGNES ST,WALTER ST,KING ST W,6/29/2015 12:00:00 PM,9/1/2015 4:00:00 AM,Road Reconstruction,Closed,Completed,"No Access to King St During the work, 2 Months",,Kitchener,Stephanie Brasseur 519-741-2200 ext. 7373,NA,,NA,,,9/6/2024 9:54:00 PM,KitchenerGIS,9/6/2024 9:54:00 PM,KitchenerGIS,,,N,Road - Closed,408.286830223149
2,52570,Road,PELTZ AVE,MOORE AVE,DEKAY ST,4/7/2015 12:00:00 PM,7/24/2015 12:00:00 PM,Road Reconstruction,Closed,Completed,,,Kitchener,Stephanie Brasseur 519-741-2200 ext. 7373,NA,,NA,,,9/6/2024 9:54:00 PM,KitchenerGIS,9/6/2024 9:54:00 PM,KitchenerGIS,,,N,Road - Closed,193.216012733452
3,52571,Road,NORFOLK CRES,ST CLAIR AVE,ST CLAIR AVE,5/29/2015 12:00:00 PM,5/29/2015 12:00:00 PM,Utility Work,Closed,Completed,1 DAY,,Kitchener,Stephanie Brasseur 519-741-2200 ext. 7373,NA,,NA,,Trenchless Works,9/6/2024 9:54:00 PM,KitchenerGIS,9/6/2024 9:54:00 PM,KitchenerGIS,,,,Road - Closed,183.906677331298
5,52573,Road,WELLINGTON ST S,WALTER ST,KING ST W,4/7/2015 12:00:00 PM,6/30/2015 12:00:00 PM,Road Reconstruction,Closed,Completed,Local traffic Only,,Kitchener,Stephanie Brasseur 519-741-2200 ext. 7373,NA,,NA,,,9/6/2024 9:54:00 PM,KitchenerGIS,9/6/2024 9:54:00 PM,KitchenerGIS,,,N,Road - Closed,118.966584289198
7,52575,Road,QUEEN ST N,ELLEN ST W,MARGARET AVE,5/27/2015 12:00:00 PM,5/27/2015 12:00:00 PM,Utility Work,Closed,Completed,1 DAY,,Kitchener,Stephanie Brasseur 519-741-2200 ext. 7373,NA,,NA,,,9/6/2024 9:54:00 PM,KitchenerGIS,9/6/2024 9:54:00 PM,KitchenerGIS,,,,Road - Closed,61.4265329338981
8,52576,Road,NINE PINES RD,WILLIAMSBURG RD,OTTAWA ST S,5/25/2015 12:00:00 PM,5/25/2015 12:00:00 PM,Sewer Work,Closed,Completed,1 DAY,,Kitchener,Stephanie Brasseur 519-741-2200 ext. 7373,NA,,NA,,,9/6/2024 9:54:00 PM,KitchenerGIS,9/6/2024 9:54:00 PM,KitchenerGIS,,,,Road - Closed,352.607719570455
9,53488,Road,SIEBERT AVE,CLARK AVE,HARBER AVE,4/27/2015 12:00:00 PM,9/30/2015 12:00:00 PM,Road Reconstruction,Closed,Completed,TENTATIVE 5 MONTHS,,Kitchener,Stephanie Brasseur 519-741-2200 ext. 7373,NA,,NA,,,9/6/2024 9:54:00 PM,KitchenerGIS,9/6/2024 9:54:00 PM,KitchenerGIS,,,N,Road - Closed,137.485410663175
10,52578,Road,WALTER ST,AGNES ST,WELLINGTON ST S,4/7/2015 12:00:00 PM,6/30/2015 12:00:00 PM,Road Reconstruction,Closed,Completed,LOCAL TRAFFIC ONLY,,Kitchener,Stephanie Brasseur 519-741-2200 ext. 7373,NA,,NA,,,9/6/2024 9:54:00 PM,KitchenerGIS,9/6/2024 9:54:00 PM,KitchenerGIS,,,N,Road - Closed,178.01926500447
11,52579,Road,ROBERT FERRIE DR,NEW DUNDEE RD,THOMAS SLEE DR,5/11/2015 12:00:00 PM,5/31/2015 12:00:00 PM,Water Repair,Closed,Completed,APPROX 3 WEEKS,,Kitchener,Stephanie Brasseur 519-741-2200 ext. 7373,NA,,NA,,New Dundee Forcemain work,9/6/2024 9:54:00 PM,KitchenerGIS,9/6/2024 9:54:00 PM,KitchenerGIS,,,,Road - Closed,338.347218354102
13,52581,Road,YOUNG ST,KING ST W,DUKE ST W,4/14/2015 12:00:00 PM,7/24/2015 12:00:00 PM,Other,Closed,Completed,UNTIL FURTHER NOTICE,,Kitchener,Stephanie Brasseur 519-741-2200 ext. 7373,NA,,NA,,Building Demolition,9/6/2024 9:54:00 PM,KitchenerGIS,9/6/2024 9:54:00 PM,KitchenerGIS,,,Y,Road - Closed,142.730535432172
14,52582,Road,DELISLE AVE,MOORE AVE,DEKAY ST,4/6/2015 12:00:00 PM,7/9/2015 12:00:00 PM,Road Reconstruction,Closed,Completed,,,Kitchener,Stephanie Brasseur 519-741-2200 ext. 7373,NA,,NA,,,9/6/2024 9:54:00 PM,KitchenerGIS,9/6/2024 9:54:00 PM,KitchenerGIS,,,N,Road - Closed,198.580858711948
15,52583,Road,SHUH AVE,BROADVIEW AVE,BROADVIEW AVE,6/13/2015 12:00:00 PM,6/13/2015 12:00:00 PM,Special Event,Closed,Completed,10:00 A.M. TO 2:00 P.M.,,Kitchener,Stephanie Brasseur 519-741-2200 ext. 7373,NA,,NA,,,9/6/2024 9:54:00 PM,KitchenerGIS,9/6/2024 9:54:00 PM,KitchenerGIS,,,,Road - Closed,153.526683512188
16,52584,Road,BRICK ST,OTTAWA ST N,ROSEDALE AVE,4/7/2015 12:00:00 PM,6/30/2015 12:00:00 PM,Road Reconstruction,Closed,Completed,,,Kitchener,Stephanie Brasseur 519-741-2200 ext. 7373,NA,,NA,,,9/6/2024 9:54:00 PM,KitchenerGIS,9/6/2024 9:54:00 PM,KitchenerGIS,,,N,Road - Closed,220.648615177615
17,52585,Road,MARGARET AVE,VICTORIA ST N,BREITHAUPT ST,6/13/2013 12:00:00 PM,10/2/2015 4:00:00 AM,Bridge Reconstruction,Closed,Completed,,,Kitchener,Stephanie Brasseur 519-741-2200 ext. 7373,NA,,NA,,,9/6/2024 9:54:00 PM,KitchenerGIS,9/6/2024 9:54:00 PM,KitchenerGIS,,,N,Road - Closed,114.506321843257
18,52586,Road,MAPLE AVE,GUELPH ST,ARNOLD ST,5/25/2015 12:00:00 PM,8/9/2015 12:00:00 PM,Road Reconstruction,Closed,Completed,2 MONTHS,,Kitchener,Stephanie Brasseur 519-741-2200 ext. 7373,NA,,NA,,,9/6/2024 9:54:00 PM,KitchenerGIS,9/6/2024 9:54:00 PM,KitchenerGIS,,,N,Road - Closed,265.871874206995
19,52587,Road,COLLEGE ST,KING ST W,DUKE ST W,5/31/2015 12:00:00 PM,5/31/2015 12:00:00 PM,Special Event,Closed,Completed,8:00 AM TO 5:00 PM,,Kitchener,Stephanie Brasseur 519-741-2200 ext. 7373,NA,,NA,,Bikefest Event,9/6/2024 9:54:00 PM,KitchenerGIS,9/6/2024 9:54:00 PM,KitchenerGIS,,,,Road - Closed,58.789156702111
21,52589,Road,MCINTYRE PL,MCINTYRE DR,MCINTYRE DR,5/27/2015 12:00:00 PM,5/27/2015 12:00:00 PM,Sewer Work,Closed,Completed,1 DAY,,Kitchener,Stephanie Brasseur 519-741-2200 ext. 7373,NA,,NA,,,9/6/2024 9:54:00 PM,KitchenerGIS,9/6/2024 9:54:00 PM,KitchenerGIS,,,,Road - Closed,203.411049209605
22,52590,Road,KENSINGTON AVE,CHELSEA RD,KRUG ST,5/26/2015 12:00:00 PM,5/26/2015 12:00:00 PM,Road Repair,Closed,Completed,1 DAY,,Kitchener,Stephanie Brasseur 519-741-2200 ext. 7373,NA,,NA,,,9/6/2024 9:54:00 PM,KitchenerGIS,9/6/2024 9:54:00 PM,KitchenerGIS,,,,Road - Closed,89.8890721940957
23,52591,Road,HOHNER AVE,LAN,SAMUEL ST,5/30/2015 12:00:00 PM,5/30/2015 12:00:00 PM,Special Event,Closed,Completed,2:00 P.M. TO 7:00 P.M.,,Kitchener,Stephanie Brasseur 519-741-2200 ext. 7373,NA,,NA,,,9/6/2024 9:54:00 PM,KitchenerGIS,9/6/2024 9:54:00 PM,KitchenerGIS,,,,Road - Closed,324.398068958209
24,52592,Road,SEREDA RD,GUELPH ST,ARNOLD ST,5/25/2015 12:00:00 PM,8/6/2015 12:00:00 PM,Road Reconstruction,Closed,Completed,ST 2 MONTHS,LOCAL ACCESS VIA UNION ,Kitchener,Stephanie Brasseur 519-741-2200 ext. 7373,NA,,NA,,,9/6/2024 9:54:00 PM,KitchenerGIS,9/6/2024 9:54:00 PM,KitchenerGIS,,,N,Road - Closed,326.057022167404
25,52593,Road,HALLS LANE W,ONTARIO ST S,QUEEN ST S,2/10/2014 12:00:00 PM,8/31/2015 12:00:00 PM,Site Servicing,Closed,Completed,16 MONTHS New Development,,Kitchener,Stephanie Brasseur 519-741-2200 ext. 7373,NA,,NA,,New Development,9/6/2024 9:54:00 PM,KitchenerGIS,9/6/2024 9:54:00 PM,KitchenerGIS,,,Y,Road - Closed,118.615272685338
26,52594,Road,ARDELT AVE,HANSON AVE,LENNOX LEWIS WAY,5/29/2015 12:00:00 PM,5/29/2015 12:00:00 PM,Sewer Work,Closed,Completed,1 DAY,,Kitchener,Stephanie Brasseur 519-741-2200 ext. 7373,NA,,NA,,Storm repair,9/6/2024 9:54:00 PM,KitchenerGIS,9/6/2024 9:54:00 PM,KitchenerGIS,,,,Road - Closed,573.100237126983
27,53490,Road,KING ST W,FREDERICK ST,YOUNG ST,5/19/2015 12:00:00 PM,5/31/2015 12:00:00 PM,Other,Closed,Completed, 2 WEEKS,THROUGH TRAFFIC DETOUR VIA FREDERICK - WEBER - VICTORIA,Kitchener,Stephanie Brasseur 519-741-2200 ext. 7373,NA,,NA,,Building Demolition,9/6/2024 9:54:00 PM,KitchenerGIS,9/6/2024 9:54:00 PM,KitchenerGIS,,,,Road - Closed,117.498093422627
31,52598,Road,JOSEPH ST,WATER ST S,FRANCIS ST S,5/26/2015 12:00:00 PM,5/26/2015 12:00:00 PM,Utility Work,Closed,Completed,1 DAY,,Kitchener,Stephanie Brasseur 519-741-2200 ext. 7373,NA,,NA,,,9/6/2024 9:54:00 PM,KitchenerGIS,9/6/2024 9:54:00 PM,KitchenerGIS,,,,Road - Closed,90.2247621218639
33,52600,Road,DOMINION ST,PARK ST,STRANGE ST,4/7/2015 12:00:00 PM,6/23/2015 12:00:00 PM,Road Reconstruction,Closed,Completed,,,Kitchener,Stephanie Brasseur 519-741-2200 ext. 7373,NA,,NA,,,9/6/2024 9:54:00 PM,KitchenerGIS,9/6/2024 9:54:00 PM,KitchenerGIS,,,N,Road - Closed,132.664994249687
34,52601,Road,SHIRK PL,LANCASTER ST W,WOOLWICH ST,5/11/2015 12:00:00 PM,5/31/2015 12:00:00 PM,Bridge Work,Closed,Completed,2 WEEKS,,Kitchener,Stephanie Brasseur 519-741-2200 ext. 7373,NA,,NA,,Bridge Structure - Completion,9/6/2024 9:54:00 PM,KitchenerGIS,9/6/2024 9:54:00 PM,KitchenerGIS,,,,Road - Closed,224.728894722769
35,52602,Road,MCKENZIE AVE,OTTAWA ST N,SHERBOURNE AVE,6/23/2015 12:00:00 PM,6/23/2015 12:00:00 PM,Special Event,Closed,Completed,12 NOON TO 10:00 P.M.,,Kitchener,Stephanie Brasseur 519-741-2200 ext. 7373,NA,,NA,,,9/6/2024 9:54:00 PM,KitchenerGIS,9/6/2024 9:54:00 PM,KitchenerGIS,,,N,Road - Closed,209.7981145026
37,52604,Road,FIFTH AVE,KINGSWAY DR,CONNAUGHT ST,5/26/2015 12:00:00 PM,5/26/2015 12:00:00 PM,Sewer Work,Closed,Completed,1 DAY,,Kitchener,Stephanie Brasseur 519-741-2200 ext. 7373,NA,,NA,,,9/6/2024 9:54:00 PM,KitchenerGIS,9/6/2024 9:54:00 PM,KitchenerGIS,,,,Road - Closed,414.924066653358
641,52679,Road,BRANDON AVE,KATHERINE CRES,DUNBAR RD,5/28/2015 12:00:00 PM,5/29/2015 12:00:00 PM,Sewer Work,Closed,Completed,Duration 1 Day,,Kitchener,Stephanie Brasseur 519-741-2200 ext. 7373,,,,,,9/6/2024 9:54:00 PM,KitchenerGIS,9/6/2024 9:54:00 PM,KitchenerGIS,,,,Road - Closed,239.013993219516
1281,52759,Road,KEHL ST,HOFFMAN ST,OTTAWA ST S,6/8/2015 12:00:00 PM,6/8/2015 12:00:00 PM,Watermain Break,Closed,Completed,,,Kitchener,Stephanie Brasseur 519-741-2200 ext. 7373,,,,,,9/6/2024 9:54:00 PM,KitchenerGIS,9/6/2024 9:54:00 PM,KitchenerGIS,,,,Road - Closed,317.109444704987
1282,52771,Road,HUGO CRES,HEIMAN ST,END,6/9/2015 12:00:00 PM,6/9/2015 12:00:00 PM,Sewer Work,Closed,Completed,1 day,,Kitchener,Stephanie Brasseur 519-741-2200 ext. 7373,,,,,,9/6/2024 9:54:00 PM,KitchenerGIS,9/6/2024 9:54:00 PM,KitchenerGIS,,,,Road - Closed,201.758945228878
