OBJECTID,ACCIDENTNUM,ACCIDENTDATE,ACCIDENT_YEAR,ACCIDENT_MONTH,ACCIDENT_DAY,ACCIDENT_HOUR,ACCIDENT_MINUTE,ACCIDENT_SECOND,ACCIDENT_WEEKDAY,XCOORD,YCOORD,LONGITUDE,LATITUDE,ACCIDENTLOCATION,COLLISIONTYPE,CLASSIFICATIONOFACCIDENT,IMPACTLOCATION,INITIALDIRECTIONOFTRAVELONE,INITIALDIRECTIONOFTRAVELTWO,INITIALIMPACTTYPE,INTTRAFFICCONTROL,LIGHT,LIGHTFORREPORT,ROADJURISDICTION,TRAFFICCONTROL,TRAFFICCONTROLCONDITION,THRULANENO,NORTHBOUNDDISOBEYCOUNT,SOUTHBOUNDDISOBEYCOUNT,PEDESTRIANINVOLVED,CYCLISTINVOLVED,MOTORCYCLISTINVOLVED,ENVIRONMENTCONDITION1,ENVIRONMENTCONDITION2,SELFREPORTED,XMLIMPORTNOTES,LASTEDITEDDATE,CREATE_BY,CREATE_DATE
47299,18-000057,1514769420000,2018,1,1,1,17,0,Monday,539568.88951,4805603.85345,-80.511346,43.40228,Non intersection,2,P.D. only,Thru lane,unknown,unknown,Approaching,Unknown,Dark,07 - Dark,Municipal (excl. Twp. Rd.),No control,unknown,0,0,0,False,False,False,Snow,,False,ACTIVA AVE; PERIWINKLE ST ; Near; 100 M,1/30/2020 11:57:07 AM,,
47300,18-000427,1514816220000,2018,1,1,14,17,0,Monday,538913.19219,4806068.92384,-80.51941,43.406501999999996,Non intersection,2,P.D. only,Thru lane,unknown,unknown,Sideswipe,Unknown,Daylight,01 - Daylight,Municipal (excl. Twp. Rd.),No control,unknown,0,0,0,False,False,False,Clear,,False,PEACH BLOSSOM CRES; PEACH BLOSSOM CRES ; 12 M,1/30/2020 11:57:07 AM,,
47301,18-000733,1514856600000,2018,1,2,1,30,0,Tuesday,541556.21329,4808624.93008,-80.486575,43.429373999999996,Non intersection,2,P.D. only,Off highway,unknown,unknown,SMV other,Unknown,Dark,07 - Dark,Regional municipality,No control,unknown,0,0,0,False,False,False,Snow,,False,HIGHLAND RD E; HIGHLAND RD E; Near; 20 M,1/30/2020 11:57:06 AM,,
47303,18-000877,1514883300000,2018,1,2,8,55,0,Tuesday,544719.75192,4809291.45426,-80.447436,43.435193,At/near private drive,2,Non-reportable,Right shoulder,unknown,unknown,SMV unattended vehicle,Unknown,Daylight,01 - Daylight,Municipal (excl. Twp. Rd.),No control,unknown,0,0,0,False,False,False,Clear,,False,FRANKLIN ST N; FRANKLIN ST N; Near,1/30/2020 11:57:04 AM,,
47304,18-000918,1514815200000,2018,1,1,14,0,0,Monday,545680.7721,4803723.74439,-80.436027,43.385003999999995,At/near private drive,2,P.D. only,Thru lane,unknown,unknown,Other,Unknown,Daylight,01 - Daylight,Municipal (excl. Twp. Rd.),No control,unknown,0,0,0,False,False,False,Clear,,False,APPLE RIDGE DR; APPLE RIDGE DR; Near,1/30/2020 11:57:03 AM,,
47305,18-000942,1514880000000,2018,1,2,8,0,0,Tuesday,540086.46966,4812032.16595,-80.504482,43.460133,Non intersection,2,P.D. only,Right shoulder,unknown,unknown,SMV other,Unknown,Daylight,01 - Daylight,Municipal (excl. Twp. Rd.),No control,unknown,0,0,0,False,False,False,Snow,,False,DEKAY ST; DEKAY ST ; Near,1/30/2020 11:57:02 AM,,
47306,18-001193,1514913300000,2018,1,2,17,15,0,Tuesday,542473.18804,4812922.17404,-80.47491099999999,43.468015,Intersection related,2,P.D. only,Not on roadway - right side,unknown,unknown,SMV other,Unknown,"Dusk, artificial","06 - Dusk, artificial",Municipal (excl. Twp. Rd.),Stop sign,Functioning,0,0,0,False,False,False,Snow,,False,SPRING VALLEY RD; GUELPH ST; 30 M,1/30/2020 11:57:01 AM,,
47308,18-001252,1514918400000,2018,1,2,18,40,0,Tuesday,535508.03941,4809337.65227,-80.561251,43.436102999999996,At/near private drive,2,P.D. only,Thru lane,unknown,unknown,Angle,Unknown,Dark,07 - Dark,Municipal (excl. Twp. Rd.),Stop sign,Functioning,0,0,0,False,False,False,Clear,,False,THE BOARDWALK  ; THE BOARDWALK MALL LANE ; At; 0 M,1/30/2020 11:56:59 AM,,
47309,18-001302,1514911500000,2018,1,2,16,45,0,Tuesday,546322.69731,4814216.97352,-80.427212,43.479445,Non intersection,2,P.D. only,Thru lane,unknown,unknown,Approaching,Unknown,Daylight,01 - Daylight,Municipal (excl. Twp. Rd.),No control,unknown,0,0,0,False,False,False,Clear,,False,SHIRLEY DR; RIVERVIEW PL; Near,1/30/2020 11:56:58 AM,,
47310,18-001813,1514987220000,2018,1,3,13,47,0,Wednesday,541068.0,4811108.0,0.0,0.0,At intersection,2,P.D. only,Within intersection,unknown,unknown,Angle,Unknown,Daylight,01 - Daylight,Municipal (excl. Twp. Rd.),Stop sign,Functioning,0,1,0,False,False,False,Snow,,False,GUELPH ST; SPRING VALLEY RD,1/30/2020 11:56:57 AM,,
47311,18-001967,1514969700000,2018,1,3,8,55,0,Wednesday,539912.51901,4811055.62329,-80.506704,43.45135,At railway crossing,2,P.D. only,Thru lane,unknown,unknown,Sideswipe,Unknown,Daylight,01 - Daylight,Municipal (excl. Twp. Rd.),Traffic signal,Functioning,0,0,0,False,False,False,Clear,,False,PARK ST; CN RAIL,1/30/2020 11:56:56 AM,,
47312,18-002485,1515002400000,2018,1,3,18,0,0,Wednesday,541068.0,4811108.0,0.0,0.0,At/near private drive,2,P.D. only,Thru lane,unknown,unknown,SMV unattended vehicle,Unknown,"Dark, artificial","08 - Dark, artificial",Municipal (excl. Twp. Rd.),No control,unknown,0,0,0,False,False,False,Snow,,False,PIETER VOS DR; PIETER VOS DR; Near,1/30/2020 11:56:55 AM,,
47313,18-002544,1515070200000,2018,1,4,12,50,0,Thursday,538344.41784,4806587.06577,-80.526398,43.411196,At/near private drive,2,P.D. only,Right shoulder,unknown,unknown,SMV unattended vehicle,Unknown,Daylight,01 - Daylight,Municipal (excl. Twp. Rd.),No control,unknown,0,0,0,False,False,False,Clear,,False,FOXGLOVE CRES; FOXGLOVE CRES ; Near,1/30/2020 11:56:54 AM,,
47314,18-002736,1515086100000,2018,1,4,17,15,0,Thursday,540703.83012,4812254.4697,-80.49683499999999,43.462102,Intersection related,2,P.D. only,Thru lane,unknown,unknown,Rear end,Unknown,Dusk,05 - Dusk,Municipal (excl. Twp. Rd.),Stop sign,Functioning,0,0,0,False,False,False,Clear,,False,GUELPH ST; AHRENS ST W; At,1/30/2020 11:56:53 AM,,
47315,18-002743,1515086760000,2018,1,4,17,26,0,Thursday,549157.46243,4806313.18759,-80.39287399999999,43.408099,At/near private drive,2,P.D. only,Two-way left turn lane,unknown,unknown,Turning movement,Unknown,Daylight,01 - Daylight,Municipal (excl. Twp. Rd.),No control,unknown,0,0,0,False,False,False,Clear,,False,GATEWAY PARK DR ; GATEWAY PARK DR ; At; 3 M,1/30/2020 11:56:52 AM,,
47316,18-002790,1515082200000,2018,1,4,16,10,0,Thursday,543067.54257,4807438.37473,-80.467996,43.418605,At intersection,2,P.D. only,Within intersection,unknown,unknown,Angle,Unknown,Daylight,01 - Daylight,Municipal (excl. Twp. Rd.),Yield sign,Functioning,0,0,0,False,False,False,Clear,,False,FALLOWFIELD DR; BLOCK LINE RD,1/30/2020 11:56:52 AM,,
47317,18-002840,1515093000000,2018,1,4,19,10,0,Thursday,545771.78897,4808634.29248,-80.434493,43.429213,At/near private drive,1,Non-fatal injury,Thru lane,unknown,unknown,Turning movement,Unknown,"Dark, artificial","08 - Dark, artificial",Regional municipality,No control,unknown,0,0,0,False,False,False,Clear,,False,KING ST E; KING ST E; 2 M,1/30/2020 11:56:51 AM,,
