service_id,date,exception_type
10-Holiday1-1-2024_5-0000001,20250101,1
10-Holiday3-1-2024_5-0000001,20241226,1
10-Saturday-1-2024_4-0000010,20241207,1
10-Saturday-1-2024_4-0000010,20241214,1
10-Saturday-1-2024_4-0000010,20241221,1
10-Saturday-1-2024_5-0000010,20241228,1
10-Saturday-1-2024_5-0000010,20250104,1
10-Sunday-1-2024_4-0000001,20241208,1
10-Sunday-1-2024_4-0000001,20241215,1
10-Sunday-1-2024_4-0000001,20241222,1
10-Sunday-1-2024_5-0000001,20241229,1
10-Sunday-1-2024_5-0000001,20250105,1
10-Weekday-1-2024_4-1111100,20241202,1
10-Weekday-1-2024_4-1111100,20241203,1
10-Weekday-1-2024_4-1111100,20241204,1
10-Weekday-1-2024_4-1111100,20241205,1
10-Weekday-1-2024_4-1111100,20241206,1
10-Weekday-1-2024_4-1111100,20241209,1
10-Weekday-1-2024_4-1111100,20241210,1
10-Weekday-1-2024_4-1111100,20241211,1
10-Weekday-1-2024_4-1111100,20241212,1
10-Weekday-1-2024_4-1111100,20241213,1
10-Weekday-1-2024_4-1111100,20241216,1
10-Weekday-1-2024_4-1111100,20241217,1
10-Weekday-1-2024_4-1111100,20241218,1
10-Weekday-1-2024_4-1111100,20241219,1
10-Weekday-1-2024_4-1111100,20241220,1
10-Weekday-1-2024_5-1111100,20241223,1
10-Weekday-1-2024_5-1111100,20241224,1
10-Weekday-1-2024_5-1111100,20241227,1
10-Weekday-1-2024_5-1111100,20241230,1
10-Weekday-1-2024_5-1111100,20250102,1
10-Weekday-1-2024_5-1111100,20250103,1
10-Weekday-1-2024_5-1111100,20241231,1
110-Saturday-1-2024_4-0000010,20241207,1
110-Saturday-1-2024_4-0000010,20241214,1
110-Saturday-1-2024_4-0000010,20241221,1
110-Weekday-1-2024_4-1111100,20241202,1
110-Weekday-1-2024_4-1111100,20241203,1
110-Weekday-1-2024_4-1111100,20241204,1
110-Weekday-1-2024_4-1111100,20241205,1
110-Weekday-1-2024_4-1111100,20241206,1
110-Weekday-1-2024_4-1111100,20241209,1
110-Weekday-1-2024_4-1111100,20241210,1
110-Weekday-1-2024_4-1111100,20241211,1
110-Weekday-1-2024_4-1111100,20241212,1
110-Weekday-1-2024_4-1111100,20241213,1
110-Weekday-1-2024_4-1111100,20241216,1
110-Weekday-1-2024_4-1111100,20241217,1
110-Weekday-1-2024_4-1111100,20241218,1
110-Weekday-1-2024_4-1111100,20241219,1
110-Weekday-1-2024_4-1111100,20241220,1
12-Holiday1-1-2024_5-0000001,20250101,1
12-Holiday2-1-2024_5-0000001,20241225,1
12-Holiday3-1-2024_5-0000001,20241226,1
12-Saturday-1-2024_4-0000010,20241207,1
12-Saturday-1-2024_4-0000010,20241214,1
12-Saturday-1-2024_4-0000010,20241221,1
12-Saturday-1-2024_5-0000010,20241228,1
12-Saturday-1-2024_5-0000010,20250104,1
12-Sunday-1-2024_4-0000001,20241208,1
12-Sunday-1-2024_4-0000001,20241215,1
12-Sunday-1-2024_4-0000001,20241222,1
12-Sunday-1-2024_5-0000001,20241229,1
12-Sunday-1-2024_5-0000001,20250105,1
12-Weekday-1-2024_4-1111100,20241202,1
12-Weekday-1-2024_4-1111100,20241203,1
12-Weekday-1-2024_4-1111100,20241204,1
12-Weekday-1-2024_4-1111100,20241205,1
12-Weekday-1-2024_4-1111100,20241206,1
12-Weekday-1-2024_4-1111100,20241209,1
12-Weekday-1-2024_4-1111100,20241210,1
12-Weekday-1-2024_4-1111100,20241211,1
12-Weekday-1-2024_4-1111100,20241212,1
12-Weekday-1-2024_4-1111100,20241213,1
12-Weekday-1-2024_4-1111100,20241216,1
12-Weekday-1-2024_4-1111100,20241217,1
12-Weekday-1-2024_4-1111100,20241218,1
12-Weekday-1-2024_4-1111100,20241219,1
12-Weekday-1-2024_4-1111100,20241220,1
12-Weekday-1-2024_5-1111100,20241223,1
12-Weekday-1-2024_5-1111100,20241224,1
12-Weekday-1-2024_5-1111100,20241227,1
12-Weekday-1-2024_5-1111100,20241230,1
12-Weekday-1-2024_5-1111100,20250102,1
12-Weekday-1-2024_5-1111100,20250103,1
12-Weekday-2-2024_5-1111100,20241231,1
13-Holiday1-1-2024_5-0000001,20250101,1
13-Holiday3-1-2024_5-0000001,20241226,1
13-Saturday-1-2024_4-0000010,20241207,1
13-Saturday-1-2024_4-0000010,20241214,1
13-Saturday-1-2024_4-0000010,20241221,1
13-Saturday-1-2024_5-0000010,20241228,1
13-Saturday-1-2024_5-0000010,20250104,1
13-Sunday-1-2024_4-0000001,20241208,1
13-Sunday-1-2024_4-0000001,20241215,1
13-Sunday-1-2024_4-0000001,20241222,1
13-Sunday-1-2024_5-0000001,20241229,1
13-Sunday-1-2024_5-0000001,20250105,1
13-Weekday-2-2024_4-1111100,20241202,1
13-Weekday-2-2024_4-1111100,20241203,1
13-Weekday-2-2024_4-1111100,20241204,1
13-Weekday-2-2024_4-1111100,20241205,1
13-Weekday-2-2024_4-1111100,20241206,1
13-Weekday-2-2024_4-1111100,20241209,1
13-Weekday-2-2024_4-1111100,20241210,1
13-Weekday-2-2024_4-1111100,20241211,1
13-Weekday-2-2024_4-1111100,20241212,1
13-Weekday-2-2024_4-1111100,20241213,1
13-Weekday-2-2024_4-1111100,20241216,1
13-Weekday-2-2024_4-1111100,20241217,1
13-Weekday-2-2024_4-1111100,20241218,1
13-Weekday-2-2024_4-1111100,20241219,1
13-Weekday-2-2024_4-1111100,20241220,1
13-Weekday-2-2024_5-1111100,20241223,1
13-Weekday-2-2024_5-1111100,20241224,1
13-Weekday-2-2024_5-1111100,20241227,1
13-Weekday-2-2024_5-1111100,20241230,1
13-Weekday-2-2024_5-1111100,20250102,1
13-Weekday-2-2024_5-1111100,20250103,1
13-Weekday-2-2024_5-1111100,20241231,1
14-Weekday-1-2024_4-1111100,20241202,1
14-Weekday-1-2024_4-1111100,20241203,1
14-Weekday-1-2024_4-1111100,20241204,1
14-Weekday-1-2024_4-1111100,20241205,1
14-Weekday-1-2024_4-1111100,20241206,1
14-Weekday-1-2024_4-1111100,20241209,1
14-Weekday-1-2024_4-1111100,20241210,1
14-Weekday-1-2024_4-1111100,20241211,1
14-Weekday-1-2024_4-1111100,20241212,1
14-Weekday-1-2024_4-1111100,20241213,1
14-Weekday-1-2024_4-1111100,20241216,1
14-Weekday-1-2024_4-1111100,20241217,1
14-Weekday-1-2024_4-1111100,20241218,1
14-Weekday-1-2024_4-1111100,20241219,1
14-Weekday-1-2024_4-1111100,20241220,1
14-Weekday-1-2024_5-1111100,20241223,1
14-Weekday-1-2024_5-1111100,20241224,1
14-Weekday-1-2024_5-1111100,20241227,1
14-Weekday-1-2024_5-1111100,20241230,1
14-Weekday-1-2024_5-1111100,20250102,1
14-Weekday-1-2024_5-1111100,20250103,1
14-Weekday-1-2024_5-1111100,20241231,1
16-Holiday1-1-2024_5-0000001,20250101,1
16-Holiday3-1-2024_5-0000001,20241226,1
16-Saturday-1-2024_4-0000010,20241207,1
16-Saturday-1-2024_4-0000010,20241214,1
16-Saturday-1-2024_4-0000010,20241221,1
16-Saturday-1-2024_5-0000010,20241228,1
16-Saturday-1-2024_5-0000010,20250104,1
16-Sunday-1-2024_4-0000001,20241208,1
16-Sunday-1-2024_4-0000001,20241215,1
16-Sunday-1-2024_4-0000001,20241222,1
16-Sunday-1-2024_5-0000001,20241229,1
16-Sunday-1-2024_5-0000001,20250105,1
16-Weekday-1-2024_4-1111100,20241202,1
16-Weekday-1-2024_4-1111100,20241203,1
16-Weekday-1-2024_4-1111100,20241204,1
16-Weekday-1-2024_4-1111100,20241205,1
16-Weekday-1-2024_4-1111100,20241206,1
16-Weekday-1-2024_4-1111100,20241209,1
16-Weekday-1-2024_4-1111100,20241210,1
16-Weekday-1-2024_4-1111100,20241211,1
16-Weekday-1-2024_4-1111100,20241212,1
16-Weekday-1-2024_4-1111100,20241213,1
16-Weekday-1-2024_4-1111100,20241216,1
16-Weekday-1-2024_4-1111100,20241217,1
16-Weekday-1-2024_4-1111100,20241218,1
16-Weekday-1-2024_4-1111100,20241219,1
16-Weekday-1-2024_4-1111100,20241220,1
16-Weekday-1-2024_5-1111100,20241223,1
16-Weekday-1-2024_5-1111100,20241224,1
16-Weekday-1-2024_5-1111100,20241227,1
16-Weekday-1-2024_5-1111100,20241230,1
16-Weekday-1-2024_5-1111100,20250102,1
16-Weekday-1-2024_5-1111100,20250103,1
16-Weekday-1-2024_5-1111100,20241231,1
19-Holiday1-1-2024_5-0000001,20250101,1
19-Holiday3-1-2024_5-0000001,20241226,1
19-Saturday-1-2024_4-0000010,20241207,1
19-Saturday-1-2024_4-0000010,20241214,1
19-Saturday-1-2024_4-0000010,20241221,1
19-Saturday-1-2024_5-0000010,20241228,1
19-Saturday-1-2024_5-0000010,20250104,1
19-Sunday-1-2024_4-0000001,20241208,1
19-Sunday-1-2024_4-0000001,20241215,1
19-Sunday-1-2024_4-0000001,20241222,1
19-Sunday-1-2024_5-0000001,20241229,1
19-Sunday-1-2024_5-0000001,20250105,1
19-Weekday-1-2024_4-1111100,20241202,1
