OBJECTID,CATEGORY,SUBCATEGORY,SOURCE,SOURCE_DATE,STATUS,STATUS_DATE,CREATE_DATE,UPDATE_DATE,ANGLE,PARKINGFACILITYID,PARKINGFEATUREID,OWNERSHIP,LOCATION_DESCRIPTION,ARROW_DIRECTION,SIDE_OF_ROAD,Greenp Order,x,y
1922,PAY AND DISPLAY,LOT 2,ORTHO 2016,4/18/2008 3:03:35 PM,ACTIVE,9/17/2008 4:57:47 PM,4/18/2008 3:03:35 PM,1/3/2019 12:27:51 PM,,2043,689,KITCHENER,LOT 2,,N\A,,-8959942.2494718,5380774.80112477
1925,PAY AND DISPLAY,LOT 9,ORTHO 2016,4/18/2008 3:09:59 PM,ACTIVE,9/17/2008 4:57:47 PM,4/18/2008 3:09:59 PM,1/3/2019 12:27:51 PM,,2049,692,KITCHENER,LOT 9,,N\A,,-8960238.84405539,5380714.87237107
1929,PAY AND DISPLAY,LOT 23,ORTHO 2016,5/10/2016 12:00:00 AM,ACTIVE,9/17/2008 4:57:46 PM,4/18/2008 3:17:43 PM,1/3/2019 12:27:51 PM,,2104,695,KITCHENER,LOT 23,,N\A,,-8959645.15865284,5380419.76011991
1931,ENTRANCE ARROW,,ORTHO,2/11/2004 3:56:39 PM,ACTIVE,9/17/2008 4:57:46 PM,2/11/2004 3:56:39 PM,7/26/2011 4:19:27 PM,235,1969,568,,,,NOT APPLI*,,-8959430.46880591,5381114.10855017
1932,ENTRANCE ARROW,,ORTHO,2/11/2004 4:01:23 PM,ACTIVE,9/17/2008 4:57:46 PM,2/11/2004 4:01:23 PM,9/11/2017 12:42:32 PM,210,1979,570,,,,NOT APPLI*,,-8959583.04660151,5381019.45784323
1933,EXIT,CIVIC DISTRICT GARAGE,TRANSPORTATION PLANNING,6/25/2012 12:00:00 AM,ACTIVE,9/17/2008 4:57:46 PM,2/11/2004 4:04:18 PM,1/3/2019 12:27:51 PM,120,5903,572,KITCHENER,CIVIC DISTRICT GARAGE,,N\A,,-8959747.34753664,5381120.58492206
1936,ENTRANCE,MARKET,ORTHO,7/9/2003 3:53:02 PM,ACTIVE,9/17/2008 4:57:46 PM,7/9/2003 3:53:02 PM,1/3/2019 12:27:51 PM,301,2085,338,KITCHENER,KITCHENER MARKET PARKING,,N\A,,-8959318.74460852,5380418.59169071
1937,EXIT,MARKET,ORTHO,7/9/2003 3:53:02 PM,ACTIVE,9/17/2008 4:57:46 PM,7/9/2003 3:53:02 PM,1/3/2019 12:27:51 PM,301,2085,339,KITCHENER,KITCHENER MARKET PARKING,,N\A,,-8959322.346984,5380412.95498819
1938,ENTRANCE,CITY HALL,ORTHO 2016,5/10/2016 12:00:00 AM,ACTIVE,9/17/2008 4:57:46 PM,7/9/2003 3:53:00 PM,1/3/2019 12:27:51 PM,296,1989,288,KITCHENER,CITY HALL,,N\A,,-8960305.92047271,5380986.33760047
1939,LIGHT POLE,LOT 15,ORTHO 2016,5/10/2016 12:00:00 AM,ACTIVE,9/17/2008 4:57:46 PM,7/9/2003 3:53:00 PM,1/3/2019 12:27:51 PM,,4769,289,KITCHENER,LOT 15,,N\A,,-8960566.39403167,5380693.62180919
1942,LIGHT POLE,,ORTHO,7/9/2003 3:53:00 PM,ACTIVE,9/17/2008 4:57:46 PM,7/9/2003 3:53:00 PM,1/3/2019 12:27:51 PM,,29,293,PRIVATE,KAUFMAN LOFT PARKING LOT,,N\A,,-8960787.05545897,5381208.10331424
