OBJECTID,ROADSEGMENTID,CARTO_CLASS,SUBCATEGORY,STREET,FROM_STREET,TO_STREET,FROM_LEFT_ADDRESS,TO_LEFT_ADDRESS,FROM_RIGHT_ADDRESS,TO_RIGHT_ADDRESS,REGIONAL_ROAD,LANES,OWNERSHIP,FLOW_DIRECTION,SOURCE,SOURCE_DATE,SPEED_LIMIT,AADT,AADT_YEAR,TRUCK_ACCESS,Shape__Length
52824,10165,Arterial,MAJOR,WEBER ST E,SIMEON ST,SIMEON ST,278,296,257,291,REGIONAL RD  8,4,REG,TwoWay,REG PLAN 339,4/22/2003 12:00:00 AM,50,15000,2003,7-7 MON-FRI,173.228356304379
52828,10189,Arterial,MAJOR,WEBER ST E,EAST AVE,EAST AVE,,,,,REGIONAL RD  8,5,REG,TwoWay,REG PLAN 51,4/22/2003 12:00:00 AM,50,16947,2015,7-7 MON-FRI,32.6100777595395
52829,10015,Arterial,MAJOR,WEBER ST E,JACKSON AVE,MONTGOMERY RD,724,760,721,825,REGIONAL RD  8,4,REG,TwoWay,REG PLAN 657,4/22/2003 12:00:00 AM,50,17279,2015,7-7 MON-FRI,431.493839536387
52849,6813,Arterial,MAJOR,CHARLES ST E,CHARLES ST W,BENTON ST,4,4,,,REGIONAL RD 64,3,REG,TwoWay,GIS,5/6/2009 12:00:00 AM,50,9984,2015,24HR,146.716566475212
52858,102911,Arterial,MAJOR,NEW DUNDEE RD,ROBERT FERRIE DR,REICHERT DR,,,628,628,REGIONAL RD 12,2,REG,TwoWay,PLAN 675,2/9/2004 12:00:00 AM,80,6798,2015,24HR,153.010908172492
52875,12592,Arterial,MAJOR,BRIDGEPORT RD,LANG CRES,LEANDER PL,,,431,435,REGIONAL RD  9,4,REG,TwoWay,,,50,23572,2015,24HR,82.5088043177061
52876,12609,Arterial,MAJOR,BRIDGE ST W,LANCASTER ST W,WOOLWICH ST,25,31,6,30,REGIONAL RD 52,2,REG,TwoWay,,,50,13426,2015,24HR,149.638734947483
52885,40196,Arterial,MAJOR,FISCHER HALLMAN RD,WESTMOUNT RD E,ROCKWOOD RD,1188,1188,1191,1191,REGIONAL RD 58,6,REG,TwoWay,58M-78,8/13/2002 12:00:00 AM,50,20203,2015,24HR,321.931618346659
52889,6302,Arterial,MAJOR,FISCHER HALLMAN RD,C_PKY WAT ONRAMP,C_PKY WAT OFFRAMP,,,,,REGIONAL RD 58,6,REG,TwoWay,REG PLAN 748,4/22/2003 12:00:00 AM,50,30616,2007,24HR,10.3383984990703
52893,11451,Arterial,MAJOR,COURTLAND AVE E,MILL ST,CARWOOD AVE,,,,,REGIONAL RD 53,4,REG,TwoWay,REG PLAN 384,4/22/2003 12:00:00 AM,50,16433,2015,24HR,204.266872090724
52895,9235,Arterial,MAJOR,OTTAWA ST S,KING ST E,CHARLES ST E,21,21,14,22,REGIONAL RD  4,3,REG,TwoWay,REG PLAN 404,4/22/2003 12:00:00 AM,50,14319,2015,24HR,90.0067318147454
