ACCIDENTDATE,COLLISIONTYPE,INITIALIMPACTTYPE,c,ACCIDENT_MONTH,ACCIDENT_HOUR,,ACCIDENT_YEAR
2015-01-01 0:00,2,5,1,1,0,,2015
2015-01-01 8:45,2,6,2,1,8,,2015
2015-01-01 17:30,2,5,3,1,17,,2015
2015-01-02 22:07,2,5,4,1,22,,2015
2015-01-03 9:27,2,5,5,1,9,,2015
2015-01-03 22:34,1,5,6,1,22,,2015
2015-01-04 1:12,2,5,7,1,1,,2015
2015-01-05 8:05,1,5,8,1,8,,2015
2015-01-05 8:20,2,7,9,1,8,,2015
2015-01-05 9:54,2,1,10,1,9,,2015
2015-01-05 19:00,2,6,11,1,19,,2015
2015-01-06 2:42,2,5,12,1,2,,2015
2015-01-05 18:15,2,6,13,1,18,,2015
2015-01-06 21:54,1,5,14,1,21,,2015
2015-01-07 8:30,2,3,15,1,8,,2015
2015-01-07 10:08,2,5,16,1,10,,2015
2015-01-07 10:17,2,0,17,1,10,,2015
2015-01-07 11:35,2,0,18,1,11,,2015
2015-01-07 11:54,2,6,19,1,11,,2015
2015-01-07 12:12,2,0,20,1,12,,2015
2015-01-07 9:54,1,2,21,1,9,,2015
2015-01-07 5:30,2,4,22,1,5,,2015
2015-01-07 22:30,2,0,23,1,22,,2015
2015-01-08 14:15,2,5,24,1,14,,2015
2015-01-08 14:37,1,0,25,1,14,,2015
2015-01-08 14:57,2,3,26,1,14,,2015
2015-01-08 8:30,2,6,27,1,8,,2015
2015-01-09 10:57,1,3,28,1,10,,2015
2015-01-09 11:23,2,0,29,1,11,,2015
2015-01-09 17:00,2,3,30,1,17,,2015
2015-01-10 8:34,2,7,31,1,8,,2015
2015-01-09 16:00,2,3,32,1,16,,2015
2015-01-10 15:05,2,2,33,1,15,,2015
2015-01-11 15:58,2,6,34,1,15,,2015
2015-01-11 18:00,2,6,35,1,18,,2015
2015-01-12 10:46,2,5,36,1,10,,2015
2015-01-12 9:30,2,5,37,1,9,,2015
2015-01-12 13:36,2,6,38,1,13,,2015
2015-01-12 16:35,2,7,39,1,16,,2015
2015-01-13 8:20,2,5,40,1,8,,2015
2015-01-13 9:08,2,4,41,1,9,,2015
2015-01-13 12:42,2,3,42,1,12,,2015
2015-01-13 15:45,2,3,43,1,15,,2015
2015-01-13 19:17,2,6,44,1,19,,2015
2015-01-13 11:50,2,3,45,1,11,,2015
2015-01-14 8:52,2,3,46,1,8,,2015
2015-01-14 12:00,2,7,47,1,12,,2015
2015-01-14 16:56,2,0,48,1,16,,2015
2015-01-14 17:10,2,3,49,1,17,,2015
2015-01-15 15:45,2,0,50,1,15,,2015
2015-01-15 17:00,2,6,51,1,17,,2015
2015-01-16 2:53,2,2,52,1,2,,2015
2015-01-16 8:57,2,2,53,1,8,,2015
2015-01-16 11:31,2,0,54,1,11,,2015
2015-01-16 9:30,2,2,55,1,9,,2015
2015-01-16 13:15,2,0,56,1,13,,2015
2015-01-16 15:00,2,6,57,1,15,,2015
2015-01-15 20:10,1,5,58,1,20,,2015
2015-01-16 19:44,2,3,59,1,19,,2015
2015-01-17 0:15,2,3,60,1,0,,2015
2015-01-17 0:00,2,6,61,1,0,,2015
2015-01-17 11:45,2,6,62,1,11,,2015
2015-01-18 15:10,2,7,63,1,15,,2015
2015-01-18 17:34,2,5,64,1,17,,2015
2015-01-19 8:10,2,0,65,1,8,,2015
2015-01-18 19:30,2,6,66,1,19,,2015
2015-01-19 23:10,2,0,67,1,23,,2015
2015-01-20 11:30,1,7,68,1,11,,2015
2015-01-20 16:58,2,7,69,1,16,,2015
2015-01-21 7:50,2,4,70,1,7,,2015
2015-01-21 13:54,1,3,71,1,13,,2015
2015-01-23 2:49,2,3,72,1,2,,2015
2015-01-22 11:55,2,3,73,1,11,,2015
2015-01-22 11:00,2,6,74,1,11,,2015
2015-01-22 10:22,2,5,75,1,10,,2015
2015-01-23 18:45,2,6,76,1,18,,2015
2015-01-24 21:24,2,6,77,1,21,,2015
2015-01-24 22:08,2,5,78,1,22,,2015
2015-01-25 14:49,2,0,79,1,14,,2015
2015-01-26 11:30,2,2,80,1,11,,2015
2015-01-26 12:30,2,5,81,1,12,,2015
2015-01-26 19:45,2,5,82,1,19,,2015
2015-01-27 14:32,2,4,83,1,14,,2015
2015-01-27 19:07,2,6,84,1,19,,2015
2015-01-27 19:46,2,0,85,1,19,,2015
2015-01-27 17:30,2,2,86,1,17,,2015
2015-01-28 15:38,1,5,87,1,15,,2015
2015-01-28 22:33,2,5,88,1,22,,2015
2015-01-29 8:45,2,5,89,1,8,,2015
2015-01-17 16:10,2,3,90,1,16,,2015
2015-01-29 16:55,2,5,91,1,16,,2015
2015-01-29 18:00,1,7,92,1,18,,2015
2015-01-29 17:13,1,3,93,1,17,,2015
2015-01-29 18:00,2,0,94,1,18,,2015
2015-01-29 13:05,2,7,95,1,13,,2015
2015-01-30 12:10,2,0,96,1,12,,2015
2015-01-30 12:36,2,2,97,1,12,,2015
2015-01-30 16:49,2,6,98,1,16,,2015
2015-01-30 16:30,2,3,99,1,16,,2015
2015-01-31 4:18,2,5,100,1,4,,2015
2015-02-01 5:28,2,5,101,2,5,,2015
2015-01-31 21:30,2,6,102,1,21,,2015
2015-02-01 12:09,1,0,103,2,12,,2015
2015-01-29 15:00,2,7,104,1,15,,2015
2015-01-30 22:15,2,3,105,1,22,,2015
2015-02-02 7:15,2,6,106,2,7,,2015
2015-02-02 9:00,2,7,107,2,9,,2015
2015-02-02 14:50,2,4,108,2,14,,2015
2015-02-02 15:52,2,7,109,2,15,,2015
2015-02-02 17:08,2,3,110,2,17,,2015
2015-02-02 16:30,2,6,111,2,16,,2015
2015-02-02 18:53,2,7,112,2,18,,2015
2015-02-01 21:30,2,6,113,2,21,,2015
2015-01-25 22:00,2,6,114,1,22,,2015
2015-02-03 7:06,1,0,115,2,7,,2015
2015-02-03 8:10,2,7,116,2,8,,2015
2015-02-03 8:08,2,2,117,2,8,,2015
2015-02-03 9:17,1,0,118,2,9,,2015
2015-01-21 12:30,2,2,119,1,12,,2015
2015-02-03 12:00,2,6,120,2,12,,2015
2015-02-03 15:00,2,6,121,2,15,,2015
2015-02-03 15:00,2,6,122,2,15,,2015
2015-02-03 7:20,2,3,123,2,7,,2015
2015-02-03 7:50,2,3,124,2,7,,2015
2015-02-03 17:00,2,3,125,2,17,,2015
2015-02-04 9:37,1,0,126,2,9,,2015
2015-02-03 14:50,2,4,127,2,14,,2015
2015-02-04 8:10,2,4,128,2,8,,2015
2015-02-04 16:20,2,7,129,2,16,,2015
2015-02-04 14:30,2,5,130,2,14,,2015
2015-02-04 17:17,2,7,131,2,17,,2015
2015-02-02 8:30,2,2,132,2,8,,2015
2015-02-04 19:03,2,7,133,2,19,,2015
2015-02-04 19:54,2,7,134,2,19,,2015
2015-02-05 8:30,2,3,135,2,8,,2015
2015-02-05 8:28,2,3,136,2,8,,2015
2015-02-05 8:59,2,7,137,2,8,,2015
2015-02-04 17:15,2,3,138,2,17,,2015
2015-02-04 14:55,2,4,139,2,14,,2015
2015-02-04 17:20,2,6,140,2,17,,2015
2015-02-04 18:50,2,3,141,2,18,,2015
2015-02-06 12:15,2,7,142,2,12,,2015
2015-02-06 13:00,2,7,143,2,13,,2015
2015-02-06 16:07,1,3,144,2,16,,2015
2015-02-06 15:30,2,6,145,2,15,,2015
2015-02-06 23:40,2,7,146,2,23,,2015
2015-02-07 12:20,2,0,147,2,12,,2015
2015-02-07 15:04,2,7,148,2,15,,2015
2015-02-01 19:24,2,5,149,2,19,,2015
2015-02-07 21:45,2,6,150,2,21,,2015
2015-02-08 13:45,1,5,151,2,13,,2015
2015-02-08 18:30,2,5,152,2,18,,2015
2015-02-08 23:30,2,6,153,2,23,,2015
2015-02-04 10:00,2,6,154,2,10,,2015
2015-02-09 8:16,2,1,155,2,8,,2015
2015-02-08 14:50,2,2,156,2,14,,2015
2015-02-09 8:30,2,2,157,2,8,,2015
2015-02-09 11:00,2,7,158,2,11,,2015
2015-02-08 14:30,2,6,159,2,14,,2015
2015-02-05 9:45,2,6,160,2,9,,2015
2015-02-09 6:35,2,0,161,2,6,,2015
2015-02-10 8:16,1,7,162,2,8,,2015
2015-02-10 9:01,1,2,163,2,9,,2015
2015-02-10 11:57,2,6,164,2,11,,2015
2015-02-10 12:53,2,2,165,2,12,,2015
2015-02-10 13:25,2,5,166,2,13,,2015
2015-02-10 14:00,2,7,167,2,14,,2015
2015-02-10 8:55,2,6,168,2,8,,2015
2015-02-11 16:35,2,5,169,2,16,,2015
2015-02-11 19:26,2,0,170,2,19,,2015
2015-02-12 2:38,2,5,171,2,2,,2015
2015-02-12 7:40,2,2,172,2,7,,2015
2015-02-12 9:16,2,7,173,2,9,,2015
2015-02-12 8:00,2,6,174,2,8,,2015
2015-02-12 7:40,2,4,175,2,7,,2015
2015-02-12 14:47,1,7,176,2,14,,2015
2015-02-12 8:40,2,3,177,2,8,,2015
2015-02-12 22:01,2,6,178,2,22,,2015
2015-02-12 23:49,1,0,179,2,23,,2015
2015-02-13 8:00,2,3,180,2,8,,2015
2015-02-13 8:45,2,6,181,2,8,,2015
2015-02-13 8:00,2,3,182,2,8,,2015
2015-02-13 13:27,1,7,183,2,13,,2015
2015-02-13 16:22,2,3,184,2,16,,2015
2015-02-13 14:30,2,7,185,2,14,,2015
2015-02-13 17:00,2,1,186,2,17,,2015
2015-02-13 16:00,1,3,187,2,16,,2015
2015-02-13 16:00,2,1,188,2,16,,2015
2015-02-13 20:04,1,7,189,2,20,,2015
2015-02-13 22:48,2,0,190,2,22,,2015
2015-02-13 18:30,2,7,191,2,18,,2015
2015-02-14 20:25,2,3,192,2,20,,2015
2015-02-15 17:06,2,7,193,2,17,,2015
2015-02-16 7:34,2,0,194,2,7,,2015
2015-02-15 16:30,2,4,195,2,16,,2015
2015-02-15 15:45,1,4,196,2,15,,2015
2015-02-17 9:21,2,5,197,2,9,,2015
2015-02-17 6:55,2,7,198,2,6,,2015
2015-02-17 14:16,2,6,199,2,14,,2015
2015-02-17 15:48,1,7,200,2,15,,2015
2015-02-17 15:52,2,0,201,2,15,,2015
2015-02-17 17:00,1,5,202,2,17,,2015
2015-02-18 8:29,2,6,203,2,8,,2015
2015-02-18 8:00,2,2,204,2,8,,2015
2015-02-18 8:40,2,6,205,2,8,,2015
2015-02-18 16:36,2,6,206,2,16,,2015
2015-02-18 16:00,2,1,207,2,16,,2015
2015-02-19 3:50,2,5,208,2,3,,2015
2015-02-19 3:50,2,5,209,2,3,,2015
2015-02-19 10:00,2,4,210,2,10,,2015
2015-02-19 8:30,2,3,211,2,8,,2015
2015-02-19 16:25,2,7,212,2,16,,2015
2015-02-19 16:44,2,7,213,2,16,,2015
2015-02-19 16:54,2,0,214,2,16,,2015
2015-02-20 9:10,1,7,215,2,9,,2015
2015-02-20 11:51,2,7,216,2,11,,2015
2015-02-20 15:40,2,7,217,2,15,,2015
2015-02-20 18:24,2,7,218,2,18,,2015
2015-02-21 0:22,2,6,219,2,0,,2015
2015-02-21 10:54,2,6,220,2,10,,2015
2015-02-21 11:06,2,7,221,2,11,,2015
2015-02-21 12:57,2,1,222,2,12,,2015
2015-02-21 13:20,2,0,223,2,13,,2015
2015-02-21 16:34,2,1,224,2,16,,2015
2015-02-21 13:15,2,0,225,2,13,,2015
2015-02-23 8:05,1,7,226,2,8,,2015
2015-02-23 9:33,2,5,227,2,9,,2015
2015-02-21 18:00,2,6,228,2,18,,2015
2015-02-23 17:15,2,2,229,2,17,,2015
